Name,ADDR,CITY,State,ZIP,County,lat,long,location,,,,,,,,
University of Central Arkansas,201 Donaghey Ave,Conway,AR,72035-0001,Faulkner County,35.078196,-92.45931,"Little Rock-North Little Rock-Conway, AR",,,,,,,,
Central Baptist College,1501 College Avenue,Conway,AR,72034,Faulkner County,35.084574,-92.444102,"Little Rock-North Little Rock-Conway, AR",,,,,,,,
Cossatot Community College of the University of Arkansas,183 College Drive,De Queen,AR,71832,Sevier County,34.043389,-94.3673,N,,,,,,,,
Crowley's Ridge College,100 College Dr,Paragould,AR,72450,Greene County,36.066239,-90.58482,"Paragould, AR",,,,,,,,
Crowley's Ridge Technical Institute,1620 Newcastle Road,Forrest City,AR,72335-0925,St. Francis County,35.041908,-90.767807,"Forrest City, AR",,,,,,,,
East Arkansas Community College,1700 Newcastle Rd,Forrest City,AR,72335-2204,St. Francis County,35.039673,-90.767445,"Forrest City, AR",,,,,,,,
Eastern College of Health Vocations-Little Rock,200 South University Avenue,Little Rock,AR,72205,Pulaski County,34.75126,-92.341981,"Little Rock-North Little Rock-Conway, AR",,,,,,,,
Imagine-Paul Mitchell Partner School,4201 E McCain Blvd,North Little Rock,AR,72117,Pulaski County,34.791306,-92.221304,"Little Rock-North Little Rock-Conway, AR",,,,,,,,
National Park Community College,101 College Dr,Hot Springs,AR,71913,Garland County,34.512731,-93.117111,"Hot Springs, AR",,,,,,,,
University of Arkansas Community College-Batesville,2005 White Drive,Batesville,AR,72503-3350,Independence County,35.79293,-91.616123,"Batesville, AR",,,,,,,,
Harding University,915 E. Market Ave.,Searcy,AR,72143,White County,35.249605,-91.729008,"Searcy, AR",,,,,,,,
Henderson State University,1100 Henderson Street,Arkadelphia,AR,71999-0001,Clark County,34.127792,-93.060313,"Arkadelphia, AR",,,,,,,,
Hendrix College,1600 Washington Ave,Conway,AR,72032-3080,Faulkner County,35.09972,-92.442021,"Little Rock-North Little Rock-Conway, AR",,,,,,,,
Hot Springs Beauty College,100 Cones Rd,Hot Springs,AR,71901,Garland County,34.496287,-93.038381,"Hot Springs, AR",,,,,,,,
Jefferson Regional Medical Center School of Nursing,1600 West 40th St,Pine Bluff,AR,71603,Jefferson County,34.187831,-92.018045,"Pine Bluff, AR",,,,,,,,
John Brown University,2000 W University St,Siloam Springs,AR,72761,Benton County,36.191077,-94.559088,"Fayetteville-Springdale-Rogers, AR-MO",,,,,,,,
Lees School of Cosmetology,2700 W. Pershing Blvd,North  Little Rock,AR,72114-3800,Pulaski County,34.781993,-92.296729,"Little Rock-North Little Rock-Conway, AR",,,,,,,,
Career Academy of Hair Design,346 E. Robinson Ave,Springdale,AR,72764-7128,Washington County,36.16757,-94.131834,"Fayetteville-Springdale-Rogers, AR-MO",,,,,,,,
Academy of Salon and Spa,311 S 16th St,Fort Smith,AR,72901,Sebastian County,35.380891,-94.416327,"Fort Smith, AR-OK",,,,,,,,
Arkansas State University Mid-South,2000 W.  Broadway,West Memphis,AR,72301-3829,Crittenden County,35.145736,-90.22285,"Memphis, TN-MS-AR",,,,,,,,
Arkansas Northeastern College,2501 S Division,Blytheville,AR,72316-1109,Mississippi County,35.897362,-89.922491,"Blytheville, AR",,,,,,,,
Margaret's Hair Academy Inc,305 East Gaines Street,Monticello,AR,71655,Drew County,33.629169,-91.7887,N,,,,,,,,
New Tyler Barber College Inc,1221 E 7th St,North Little Rock,AR,72114-4973,Pulaski County,34.759076,-92.254108,"Little Rock-North Little Rock-Conway, AR",,,,,,,,
North Arkansas College,1515 Pioneer Dr,Harrison,AR,72601-5508,Boone County,36.220528,-93.087317,"Harrison, AR",,,,,,,,
Northwest Technical Institute,709 S Old Missouri Rd,Springdale,AR,72764,Washington County,36.178617,-94.116433,"Fayetteville-Springdale-Rogers, AR-MO",,,,,,,,
Ouachita Baptist University,410 Ouachita St,Arkadelphia,AR,71998-0001,Clark County,34.125045,-93.052442,"Arkadelphia, AR",,,,,,,,
College of the Ouachitas,One College Circle,Malvern,AR,72104-0816,Hot Spring County,34.378745,-92.821416,"Malvern, AR",,,,,,,,
Ozarka College,218 College Dr,Melbourne,AR,72556-0010,Izard County,36.053031,-91.896355,N,,,,,,,,
University of the Ozarks,415 N College Ave,Clarksville,AR,72830,Johnson County,35.477785,-93.467924,N,,,,,,,,
University of Arkansas Community College-Morrilton,1537 University Blvd.,Morrilton,AR,72110,Conway County,35.172136,-92.728507,N,,,,,,,,
Philander Smith College,900 W. Daisy Bates Drive,Little Rock,AR,72202-3799,Pulaski County,34.73666,-92.28242,"Little Rock-North Little Rock-Conway, AR",,,,,,,,
Phillips Community College of the University of Arkansas,1000 Campus Drive,Helena,AR,72342-0785,Phillips County,34.544976,-90.617745,"Helena-West Helena, AR",,,,,,,,
